sku,ever_succeeded,last_known_status,in_current_item_list,in_done_history,source,matched_url,amazon_url,ebay_url,has_sds,has_spec
MSF1424001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1424005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1425001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1425005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1426001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1427001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1428001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1429001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1430001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1431001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1432001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1432005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1433001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1433005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1434001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1434005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1435001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1435005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1436001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1436005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1437001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1437005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1438001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1438005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1531001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1531005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1531007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1532001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1532005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1532007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1533001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1533005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1533007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1534001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1534005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1534007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1535001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1535005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1535007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1536001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1536005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1536007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1537001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1537005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1537007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1538001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1538005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1538007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1539005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1539007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1540005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1541001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1541005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1542001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1542005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1543001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1543005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1544001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1544005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1544007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1545001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1545005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1546001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1546005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1546007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1547001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1547005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1547007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1548001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1548005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1548007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1549001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1549005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1549007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1550001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1550005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1551001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1551005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1552001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1552005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1553001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1554001,yes,SUCCESS,yes,yes,miles,,,,no,yes
MSF1554002,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1555000,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1555001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1555005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1556001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1556003,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1556005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1557001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1557005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1558001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1559001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1560001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1560007,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1564005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1564006,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1564007,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1564008,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1610001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1620001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
